producer,swathcolor,bottledate,note,size,capOrCork,id

DrieFramboosOogst2019,3f_pink,19/20 B.11,19/20 B.11,375,cork,""
DrieNocturne,3f_nocturne,19/20 B.02,19/20 B.02,750,cork,""
DrieNocturne,3f_nocturne,19/20 B.02,19/20 B.02,750,cork,""
DrieSpelingXI_v,cream,XI.v,XI.v,750,cork,""
DrieSpelingXI_v,cream,XI.v,XI.v,750,cork,""
3f_rare/DriePruimReine,3f_pruim,19/20 B.64,19/20 B.64,750,cork,""
3f_rare/DriePruimReine,3f_pruim,19/20 B.64,19/20 B.64,750,cork,""
DrieIntenseRed,3f_red,19/20 B.78,19/20 B.78,750,cork,""
DrieIntenseRed,3f_red,19/20 B.78,19/20 B.78,750,cork,""
DrieOG,3f_green,19/20 B.36,19/20 B.36,750,cork,""
DrieOG,3f_green,19/20 B.36,19/20 B.36,750,cork,""
DrieAG,3f_darkgreen,19/20 B.57,19/20 B.57,750,cork,""
DrieAG,3f_darkgreen,19/20 B.57,19/20 B.57,750,cork,""
DrieIntenseRed,3f_red,19/20 B.78,19/20 B.78,1500,cork,""